EnergyTarget,CO2Target,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,NumberofBuildings,NumberofFloors,PropertyGFAParking,BuildingAge,GFA_per_floor,BuildingGFARatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,BuildingType,PrimaryPropertyType,Neighborhood,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,BuildingAgeCat,SizeCategory,HasEnergyStarScore,UsesElectricity,UsesGas,UsesSteam
7456910.0,249.98,88434.0,0.0,0.0,60.0,1.0,12,0,89,7369.5,1.0,1.0,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,1,1,1,1
8664479.0,295.86,83880.0,15064.0,4622.0,61.0,1.0,11,15064,20,9415.09090909091,0.8545468590077825,0.8099183129598517,0.1454531409922175,0.04462854604793079,NonResidential,Hotel,DOWNTOWN,Parking,Restaurant,1,3,1,1,1,0
73937112.0,2089.28,756493.0,0.0,0.0,43.0,1.0,41,196718,47,23319.756097560974,0.7942517074395206,0.791219629540534,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,2,4,1,1,1,1
6946800.5,286.43,61320.0,0.0,0.0,56.0,1.0,10,0,90,6132.0,1.0,1.0,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,2,1,1,1,1
14656503.0,505.01,123445.0,68009.0,0.0,75.0,1.0,18,62000,36,9754.444444444445,0.6468846110035311,0.7030698257204693,0.38733910468162663,0.0,NonResidential,Hotel,DOWNTOWN,Parking,Swimming Pool,1,4,1,1,1,0
12581712.0,301.81,88830.0,0.0,0.0,,1.0,2,37198,17,48644.0,0.6176506866211661,0.9130622481703807,0.0,0.0,Nonresidential COS,Other,DOWNTOWN,No_Second_Use,No_Third_Use,1,3,0,1,1,0
6062767.5,176.14,81352.0,0.0,0.0,27.0,1.0,11,0,90,7546.181818181818,1.0,0.9800501156515035,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,1,1,1,0
7067881.5,221.51,102761.0,0.0,0.0,,1.0,8,0,90,12845.125,1.0,1.0,0.0,0.0,NonResidential,Other,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,0,1,1,1
14194054.0,392.16,163984.0,0.0,0.0,43.0,1.0,15,0,112,10932.266666666666,1.0,1.0,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,4,1,1,1,0
16646930.0,691.26,133884.0,0.0,0.0,30.0,1.0,11,19279,47,13923.90909090909,0.8741275634454797,0.8741275634454797,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,2,4,1,1,1,1
27070114.0,740.97,336640.0,0.0,0.0,36.0,1.0,25,61161,18,13327.04,0.8164303551276202,1.0103969073402645,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,1,4,1,1,1,1
6358719.5,328.23,65009.0,0.0,0.0,48.0,1.0,9,0,88,7223.222222222223,1.0,1.0,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,1,1,1,1
22524948.0,648.62,295511.0,57600.0,0.0,58.0,1.0,33,57600,36,9574.30303030303,0.8176938269104168,0.9353034638172887,0.18230617308958322,0.0,NonResidential,Hotel,DOWNTOWN,Parking,No_Third_Use,1,4,1,1,1,1
11179203.0,511.39,67390.0,25200.0,0.0,35.0,1.0,11,25200,94,8380.90909090909,0.7266514806378133,0.7309903460245146,0.2733485193621868,0.0,NonResidential,Hotel,DOWNTOWN,Parking,No_Third_Use,3,3,1,1,1,1
18706912.0,181.38,364913.0,49000.0,1074.0,,1.0,11,57000,12,37454.545454545456,0.8616504854368932,0.8857111650485436,0.11893203883495146,0.0026067961165048546,Nonresidential COS,Other,DOWNTOWN,Parking,Data Center,0,4,0,1,0,1
10192124.0,433.86,90000.0,40000.0,0.0,,1.0,6,0,86,17318.5,1.0,0.8661258192106707,0.38494480853807583,0.0,NonResidential,Other,DOWNTOWN,Office,Swimming Pool,3,3,0,1,1,1
34351920.0,802.89,348329.0,85000.0,0.0,31.0,1.0,28,85000,33,14867.17857142857,0.7958110026640659,0.8367641088591601,0.20418899733593415,0.0,NonResidential,Hotel,DOWNTOWN,Parking,No_Third_Use,1,4,1,1,1,0
7877219.0,273.02,16442.0,15505.0,9741.0,,1.0,5,0,109,11490.4,1.0,0.28618672979182624,0.26987746292557263,0.16955023323818144,NonResidential,Mixed Use Property,DOWNTOWN,Restaurant,Office,3,2,0,1,1,1
10154608.0,349.32,104352.0,0.0,0.0,39.0,1.0,10,0,100,10435.2,1.0,1.0,0.0,0.0,NonResidential,Hotel,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,1,1,1,1
47023088.0,1265.29,537150.0,0.0,0.0,76.0,1.0,10,0,100,54036.0,1.0,0.9940595158783033,0.0,0.0,NonResidential,Other,DOWNTOWN,No_Second_Use,No_Third_Use,3,4,1,1,1,0
49539212.0,1699.45,385274.0,0.0,0.0,,1.0,19,0,31,20277.57894736842,1.0,1.0,0.0,0.0,NonResidential,Other,DOWNTOWN,No_Second_Use,No_Third_Use,1,4,0,1,1,0
3673186.75,90.01,58006.0,30586.0,0.0,84.0,1.0,6,30586,15,14765.333333333334,0.6547543796279574,0.6547543796279574,0.34524562037204265,0.0,NonResidential,Hotel,NORTHEAST,Parking,No_Third_Use,0,3,1,1,1,0
12183313.0,388.04,125000.0,0.0,0.0,,1.0,7,0,88,18084.714285714286,1.0,0.9874163658338139,0.0,0.0,NonResidential,University,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,0,1,1,0
1310236.625,9.13,67224.0,0.0,0.0,,1.0,2,0,86,33612.0,1.0,1.0,0.0,0.0,NonResidential,Other,DOWNTOWN,No_Second_Use,No_Third_Use,3,3,0,1,0,0
